name,rate,votes,location,cuisines,approx_cost(for two people),online_order,book_table
Empire Restaurant,4.2,1422,Koramangala,Fast Food,1200,No,Yes
Cafe Coffee Day,4.2,1773,JP Nagar,Multi Cuisine,700,No,Yes
Cafe Coffee Day,3.7,1392,Marathahalli,Pizza,600,No,Yes
KFC,4.8,2332,JP Nagar,Multi Cuisine,600,Yes,No
Truffles,3.2,2285,MG Road,Pizza,500,No,Yes
Truffles,3.9,2494,HSR,South Indian,900,No,Yes
Local Restaurant 114,4.9,2419,Banashankari,Cafe,600,Yes,Yes
Cafe Coffee Day,4.1,2194,BTM,Chinese,800,Yes,Yes
Meghana Foods,3.4,1560,HSR,Multi Cuisine,1200,Yes,Yes
Truffles,4.2,859,MG Road,South Indian,1000,Yes,No
Meghana Foods,4.6,2345,MG Road,North Indian,900,Yes,No
Empire Restaurant,4.3,1358,Jayanagar,American,400,No,No
Pizza Hut,4.4,1804,BTM,Italian,700,No,Yes
Empire Restaurant,4.3,1786,Whitefield,American,700,No,No
McDonald's,3.6,2012,Banashankari,South Indian,600,No,Yes
Subway,3.9,1966,Koramangala,South Indian,700,No,No
Empire Restaurant,3.4,674,Indiranagar,Fast Food,700,Yes,Yes
Empire Restaurant,3.7,899,Koramangala,Pizza,1400,No,No
Pizza Hut,4.5,2074,JP Nagar,Chinese,700,No,No
Domino's Pizza,4.9,1739,Koramangala,American,400,Yes,Yes
Local Restaurant 128,3.6,670,Indiranagar,North Indian,1000,No,Yes
Local Restaurant 129,4.4,1302,Jayanagar,Pizza,800,No,Yes
Local Restaurant 130,4.1,1431,Indiranagar,Chinese,600,No,No
Meghana Foods,3.8,694,MG Road,Italian,600,Yes,Yes
Cafe Coffee Day,4.1,172,MG Road,American,1200,Yes,Yes
Meghana Foods,3.5,2457,HSR,North Indian,700,No,Yes
Local Restaurant 134,3.3,2142,Indiranagar,Chinese,700,Yes,Yes
Meghana Foods,3.9,745,HSR,Fast Food,500,No,No
Subway,4.4,839,Banashankari,Cafe,1200,No,Yes
Subway,4.0,80,HSR,Pizza,800,Yes,Yes
Burger King,4.3,1063,Indiranagar,Biryani,900,No,No
Empire Restaurant,4.6,2125,Indiranagar,Pizza,700,No,No
Local Restaurant 140,4.7,1897,MG Road,Biryani,1400,Yes,No
Local Restaurant 141,4.8,915,JP Nagar,Cafe,500,No,Yes
Local Restaurant 142,3.7,1654,Whitefield,Cafe,1200,No,Yes
Domino's Pizza,4.1,197,Indiranagar,Cafe,700,No,Yes
Local Restaurant 144,4.9,414,HSR,Pizza,700,Yes,No
KFC,3.3,2355,BTM,American,1200,No,No
Empire Restaurant,4.7,2336,BTM,Cafe,900,No,No
Local Restaurant 147,3.6,1383,JP Nagar,Biryani,800,No,Yes
Cafe Coffee Day,3.4,2088,HSR,American,700,Yes,No
Cafe Coffee Day,4.5,1103,Jayanagar,Chinese,600,No,Yes
Pizza Hut,4.3,647,MG Road,North Indian,1400,No,Yes
Domino's Pizza,3.8,265,Marathahalli,Multi Cuisine,600,No,No
Burger King,3.3,1014,HSR,Pizza,500,No,No
Local Restaurant 153,3.4,536,MG Road,Chinese,700,Yes,No
McDonald's,3.4,1928,Marathahalli,Multi Cuisine,800,No,Yes
Burger King,3.6,1580,Jayanagar,South Indian,1000,Yes,Yes
Local Restaurant 156,4.3,228,HSR,Multi Cuisine,400,No,Yes
Local Restaurant 157,4.6,1356,HSR,American,400,No,No
KFC,3.3,1920,Jayanagar,Biryani,700,No,No
Cafe Coffee Day,4.6,2310,Koramangala,Biryani,900,Yes,Yes
Burger King,3.9,1611,Jayanagar,Chinese,700,Yes,Yes
Meghana Foods,4.5,451,Jayanagar,South Indian,400,No,Yes
Empire Restaurant,4.6,1646,Whitefield,Fast Food,600,Yes,Yes
Truffles,4.3,2492,JP Nagar,Cafe,1400,No,No
Meghana Foods,3.6,869,Marathahalli,Cafe,500,Yes,Yes
Local Restaurant 165,3.3,1945,MG Road,Italian,1400,No,No
McDonald's,4.9,2180,Jayanagar,Multi Cuisine,500,Yes,Yes
KFC,4.5,1272,Koramangala,South Indian,500,No,Yes
Burger King,3.2,1271,Indiranagar,South Indian,1400,No,No
Subway,3.8,408,Whitefield,Fast Food,800,No,Yes
Domino's Pizza,3.5,436,Whitefield,American,500,Yes,Yes
Burger King,3.7,1180,BTM,Biryani,600,No,Yes
Meghana Foods,4.3,2305,Jayanagar,Pizza,500,Yes,No
Subway,4.3,1290,Indiranagar,Italian,800,Yes,Yes
Local Restaurant 174,3.5,424,Koramangala,South Indian,400,Yes,No
Truffles,4.2,2366,JP Nagar,North Indian,1400,Yes,No
Cafe Coffee Day,4.7,1407,Banashankari,South Indian,1200,No,No
Local Restaurant 177,4.5,1017,BTM,Chinese,600,Yes,Yes
Pizza Hut,4.3,1899,Koramangala,American,900,Yes,No
Empire Restaurant,4.4,1705,Whitefield,Pizza,1200,No,Yes
Subway,4.7,1460,Indiranagar,Fast Food,900,No,No
Domino's Pizza,4.7,1698,JP Nagar,Biryani,500,No,Yes
KFC,3.3,588,BTM,American,800,No,Yes
KFC,3.8,2068,Koramangala,Chinese,500,Yes,Yes
Local Restaurant 184,3.2,417,JP Nagar,American,600,Yes,Yes
KFC,4.6,1263,Indiranagar,American,500,Yes,No
McDonald's,4.6,955,MG Road,Multi Cuisine,1200,Yes,Yes
Subway,4.7,602,BTM,Chinese,1200,Yes,Yes
Empire Restaurant,4.1,1231,Indiranagar,Chinese,700,No,Yes
Subway,3.7,2028,Whitefield,Fast Food,500,Yes,Yes
KFC,4.2,780,Whitefield,Multi Cuisine,700,No,Yes
Pizza Hut,4.9,2231,MG Road,Biryani,1200,No,No
Local Restaurant 192,3.6,2456,JP Nagar,Pizza,800,Yes,Yes
KFC,3.9,1566,JP Nagar,Chinese,600,Yes,Yes
Local Restaurant 194,3.6,2061,Whitefield,Biryani,1400,Yes,No
Truffles,4.1,1317,Koramangala,Fast Food,1400,No,Yes
KFC,3.7,1907,HSR,Chinese,700,No,No
KFC,3.3,814,Marathahalli,American,1400,Yes,No
Cafe Coffee Day,4.6,683,Whitefield,Cafe,600,Yes,Yes
Empire Restaurant,3.3,600,Banashankari,Cafe,700,No,Yes
KFC,4.8,2156,Whitefield,Fast Food,700,Yes,No
Burger King,3.8,1787,Whitefield,South Indian,800,Yes,No
Pizza Hut,3.9,919,BTM,North Indian,1200,Yes,Yes
Local Restaurant 203,3.9,238,Indiranagar,North Indian,500,Yes,Yes
Burger King,3.3,1275,HSR,North Indian,500,Yes,No
Meghana Foods,4.1,771,HSR,Cafe,1400,Yes,Yes
Local Restaurant 206,3.7,940,HSR,South Indian,1400,No,Yes
McDonald's,3.9,394,Whitefield,South Indian,1000,No,No
Domino's Pizza,4.6,2367,Banashankari,Multi Cuisine,600,Yes,No
Pizza Hut,4.6,982,Indiranagar,Chinese,500,Yes,No
Meghana Foods,3.8,1139,Indiranagar,Cafe,800,Yes,Yes
Truffles,4.7,306,JP Nagar,Fast Food,400,Yes,Yes
Truffles,4.4,1166,Jayanagar,Italian,500,Yes,Yes
Burger King,4.2,1825,HSR,South Indian,600,Yes,Yes
Cafe Coffee Day,3.5,1135,Jayanagar,Italian,700,Yes,Yes
Truffles,3.5,1214,Jayanagar,Chinese,600,No,No
Cafe Coffee Day,3.7,1803,Banashankari,Italian,600,No,No
McDonald's,4.8,196,JP Nagar,Multi Cuisine,900,No,No
KFC,3.4,1712,Koramangala,Biryani,600,No,Yes
Local Restaurant 219,3.4,2272,MG Road,Italian,600,No,Yes
Subway,4.1,2290,MG Road,North Indian,700,No,Yes
Local Restaurant 221,3.4,2455,Jayanagar,Multi Cuisine,500,No,Yes
Meghana Foods,4.7,1452,Koramangala,Fast Food,700,No,Yes
Meghana Foods,3.2,358,Jayanagar,Pizza,1200,No,Yes
KFC,3.6,1431,Banashankari,Italian,1000,Yes,No
Burger King,4.3,346,BTM,Chinese,1000,No,No
Local Restaurant 226,4.8,1025,Indiranagar,Fast Food,800,Yes,No
KFC,4.2,387,Whitefield,Cafe,1200,Yes,Yes
Cafe Coffee Day,4.5,2321,Jayanagar,American,800,No,Yes
Domino's Pizza,3.3,1234,Jayanagar,Fast Food,1000,Yes,No
Burger King,4.3,1350,MG Road,North Indian,400,Yes,Yes
Domino's Pizza,3.4,655,Jayanagar,Pizza,900,Yes,No
Local Restaurant 232,4.4,297,Indiranagar,Pizza,900,Yes,No
Burger King,4.8,702,HSR,Multi Cuisine,800,Yes,Yes
Meghana Foods,3.6,352,Banashankari,Cafe,1200,Yes,Yes
Meghana Foods,4.5,2079,HSR,Chinese,800,Yes,Yes
KFC,4.7,959,MG Road,Multi Cuisine,800,No,No
Pizza Hut,4.6,100,MG Road,North Indian,600,Yes,Yes
Domino's Pizza,3.8,480,HSR,American,1200,No,Yes
Pizza Hut,3.8,1234,Jayanagar,Cafe,600,Yes,No
Pizza Hut,3.3,1281,Indiranagar,North Indian,900,Yes,No
Cafe Coffee Day,4.6,2032,HSR,South Indian,1200,Yes,Yes
KFC,4.7,1611,Marathahalli,Multi Cuisine,800,Yes,No
McDonald's,4.3,1952,Koramangala,Cafe,800,No,Yes
McDonald's,4.6,182,Indiranagar,Multi Cuisine,700,No,Yes
Local Restaurant 245,4.2,2474,Whitefield,Cafe,400,Yes,Yes
Cafe Coffee Day,3.3,914,Koramangala,Fast Food,1200,No,Yes
Burger King,3.9,2369,Koramangala,North Indian,600,Yes,No
Pizza Hut,4.0,1634,Whitefield,Multi Cuisine,1200,Yes,No
Local Restaurant 249,4.0,1711,Koramangala,Italian,1400,No,Yes
Truffles,3.3,1379,HSR,North Indian,1000,No,Yes
McDonald's,3.4,932,Indiranagar,North Indian,600,No,Yes
Domino's Pizza,3.5,346,Indiranagar,Chinese,1000,No,Yes
Pizza Hut,4.2,202,Whitefield,American,600,Yes,No
Cafe Coffee Day,3.3,2187,JP Nagar,Italian,1000,Yes,No
Burger King,3.6,1221,BTM,Pizza,500,Yes,Yes
Local Restaurant 256,4.3,970,Koramangala,Pizza,1400,No,Yes
Pizza Hut,4.0,2415,Koramangala,Biryani,800,No,No
Cafe Coffee Day,4.4,1552,HSR,Biryani,700,No,No
Local Restaurant 259,3.7,1096,BTM,North Indian,900,Yes,No
Truffles,3.5,289,Banashankari,Cafe,500,No,No
McDonald's,3.7,1836,Whitefield,American,400,Yes,No
McDonald's,3.8,761,Banashankari,Fast Food,1400,No,Yes
Meghana Foods,4.3,893,MG Road,Chinese,700,No,Yes
Burger King,3.6,1942,Jayanagar,Pizza,400,No,Yes
Local Restaurant 265,3.4,1042,Banashankari,Italian,800,No,No
KFC,3.3,2033,HSR,Biryani,600,Yes,No
Pizza Hut,4.0,1265,Jayanagar,North Indian,1200,No,Yes
Cafe Coffee Day,4.3,2485,JP Nagar,Biryani,500,Yes,No
Domino's Pizza,4.8,252,BTM,Biryani,500,Yes,No
Local Restaurant 270,4.5,1331,Marathahalli,Italian,1000,Yes,Yes
McDonald's,4.8,2161,Koramangala,Multi Cuisine,500,No,Yes
Pizza Hut,4.3,2319,Marathahalli,Fast Food,600,Yes,No
Pizza Hut,4.6,1229,BTM,Fast Food,1000,No,Yes
Empire Restaurant,4.4,1518,Banashankari,Pizza,600,Yes,Yes
Empire Restaurant,4.0,549,Whitefield,North Indian,700,No,Yes
Truffles,4.8,1618,HSR,Fast Food,1000,No,Yes
Local Restaurant 277,4.1,1525,MG Road,South Indian,1200,Yes,Yes
Burger King,3.9,2421,Banashankari,Fast Food,400,No,Yes
KFC,4.3,1053,Marathahalli,Chinese,400,No,No
KFC,4.8,1873,Jayanagar,North Indian,600,Yes,Yes
Local Restaurant 281,4.1,210,Banashankari,Multi Cuisine,600,Yes,No
Local Restaurant 282,3.5,1798,Whitefield,Multi Cuisine,1400,No,No
Empire Restaurant,4.4,1373,MG Road,Pizza,600,No,Yes
Burger King,4.6,2040,Whitefield,Fast Food,500,No,No
Pizza Hut,4.3,1244,BTM,Pizza,500,No,No
KFC,4.0,978,HSR,South Indian,1200,Yes,No
Meghana Foods,4.2,365,BTM,Fast Food,500,No,No
Meghana Foods,4.3,1619,Marathahalli,Biryani,600,Yes,No
Burger King,3.6,1566,Marathahalli,Fast Food,600,No,No
KFC,3.9,229,Indiranagar,Italian,400,Yes,Yes
KFC,4.4,2311,Banashankari,American,1000,No,No
Local Restaurant 292,4.4,215,Jayanagar,North Indian,500,Yes,Yes
Truffles,3.6,2495,Jayanagar,Biryani,700,Yes,Yes
Pizza Hut,3.5,1849,Marathahalli,Italian,900,No,Yes
McDonald's,4.5,281,HSR,Fast Food,500,No,Yes
Local Restaurant 296,4.5,1489,MG Road,Chinese,800,Yes,Yes
Meghana Foods,3.8,453,HSR,Biryani,400,No,Yes
Domino's Pizza,4.6,1742,Koramangala,Fast Food,1200,No,Yes
Truffles,4.1,878,MG Road,Italian,900,Yes,Yes
Cafe Coffee Day,4.7,1443,Koramangala,American,700,No,No
Local Restaurant 301,3.7,702,Jayanagar,South Indian,700,Yes,No
McDonald's,4.5,2397,MG Road,Biryani,800,Yes,No
Meghana Foods,3.3,2371,Jayanagar,Fast Food,600,Yes,Yes
Pizza Hut,4.4,676,MG Road,Cafe,600,No,No
Local Restaurant 305,3.9,1988,MG Road,Multi Cuisine,500,Yes,No
Local Restaurant 306,3.8,906,Koramangala,North Indian,700,Yes,Yes
Subway,3.4,1177,Indiranagar,Chinese,700,Yes,Yes
Burger King,4.7,1165,Whitefield,Chinese,1400,Yes,No
Burger King,4.2,1006,Indiranagar,Multi Cuisine,1000,Yes,Yes
Meghana Foods,3.5,429,JP Nagar,Biryani,800,Yes,Yes
Domino's Pizza,4.0,1017,Koramangala,Biryani,500,Yes,No
Cafe Coffee Day,3.6,2062,MG Road,Chinese,700,No,Yes
Truffles,3.8,845,Koramangala,Cafe,900,Yes,Yes
KFC,4.6,871,Banashankari,Cafe,500,Yes,Yes
Pizza Hut,3.2,1597,Jayanagar,North Indian,1000,Yes,No
Local Restaurant 316,4.8,1101,Banashankari,Chinese,600,No,Yes
Cafe Coffee Day,3.4,1814,Jayanagar,Cafe,500,No,No
Subway,4.8,1132,Koramangala,Chinese,1000,Yes,Yes
Local Restaurant 319,3.4,1639,Indiranagar,Italian,1400,Yes,No
Subway,3.3,1338,BTM,Biryani,700,No,No
KFC,4.6,1938,JP Nagar,Italian,800,No,No
Local Restaurant 322,3.5,1117,Koramangala,Biryani,600,Yes,Yes
Pizza Hut,4.1,1028,Jayanagar,Cafe,900,Yes,No
KFC,3.6,1916,Jayanagar,Biryani,600,Yes,Yes
Local Restaurant 325,4.4,1558,BTM,South Indian,1400,Yes,Yes
Empire Restaurant,4.7,65,Marathahalli,South Indian,600,Yes,No
Truffles,4.8,2332,Banashankari,Pizza,1400,No,Yes
Meghana Foods,4.0,1755,HSR,Pizza,1400,No,No
Cafe Coffee Day,4.1,998,Marathahalli,Cafe,500,No,No
Pizza Hut,4.2,833,HSR,Fast Food,700,No,No
Pizza Hut,4.4,701,BTM,Pizza,1400,Yes,Yes
Truffles,3.7,238,HSR,South Indian,600,Yes,No
Empire Restaurant,4.2,1668,JP Nagar,American,400,Yes,Yes
Local Restaurant 334,3.4,919,Jayanagar,Pizza,1000,No,Yes
Empire Restaurant,3.5,1472,Whitefield,South Indian,900,Yes,Yes
KFC,3.3,1243,Indiranagar,Chinese,500,No,No
Domino's Pizza,4.2,1847,Whitefield,American,1400,No,No
Local Restaurant 338,4.8,2095,Whitefield,Italian,600,No,Yes
Truffles,3.7,1690,HSR,Chinese,1000,Yes,No
McDonald's,3.7,1374,Marathahalli,Cafe,700,No,No
Burger King,4.6,1642,Whitefield,Chinese,700,Yes,No
Cafe Coffee Day,3.6,1599,Marathahalli,Fast Food,500,No,No
Empire Restaurant,4.2,320,BTM,Fast Food,400,No,No
Truffles,4.8,1000,Indiranagar,South Indian,1400,No,No
Domino's Pizza,3.3,394,JP Nagar,Multi Cuisine,900,No,No
Local Restaurant 346,3.4,2247,BTM,Cafe,700,Yes,Yes
Burger King,3.5,2411,MG Road,Italian,600,No,Yes
KFC,4.2,1638,HSR,Multi Cuisine,500,Yes,Yes
Local Restaurant 349,4.9,190,JP Nagar,Fast Food,1000,No,Yes
Meghana Foods,4.6,1070,Koramangala,Pizza,700,No,No
Meghana Foods,4.2,1150,JP Nagar,Pizza,600,Yes,No
Local Restaurant 352,4.8,1158,BTM,American,800,Yes,Yes
Local Restaurant 353,4.9,314,HSR,North Indian,700,No,Yes
Domino's Pizza,3.7,1513,MG Road,American,400,Yes,Yes
KFC,3.8,974,Whitefield,Italian,700,No,Yes
Local Restaurant 356,3.2,450,Jayanagar,Italian,400,Yes,No
Burger King,4.7,1409,BTM,Cafe,600,No,Yes
Empire Restaurant,4.1,2495,HSR,Multi Cuisine,400,No,No
Local Restaurant 359,4.1,1498,Marathahalli,Cafe,500,No,No
Local Restaurant 360,4.5,212,HSR,Cafe,1000,No,Yes
Burger King,4.0,2271,MG Road,Italian,700,No,No
Pizza Hut,3.4,1777,Banashankari,American,1000,No,Yes
Cafe Coffee Day,3.5,1261,Jayanagar,Italian,1200,No,No
McDonald's,3.5,1656,JP Nagar,Multi Cuisine,600,Yes,Yes
McDonald's,3.8,320,Jayanagar,Fast Food,1200,No,No
KFC,3.8,1539,BTM,Chinese,600,No,Yes
Domino's Pizza,3.4,2275,Marathahalli,Italian,1200,No,Yes
Empire Restaurant,4.3,1904,Banashankari,South Indian,600,Yes,Yes
Domino's Pizza,4.7,1426,Jayanagar,American,700,Yes,No
KFC,4.1,1510,JP Nagar,American,1200,No,No
Burger King,4.9,1747,BTM,Cafe,1400,Yes,Yes
Burger King,3.9,823,Marathahalli,Pizza,400,Yes,Yes
Empire Restaurant,4.7,406,BTM,Multi Cuisine,900,No,No
Local Restaurant 374,3.4,944,JP Nagar,Chinese,1400,Yes,No
Burger King,4.1,1831,BTM,Cafe,1200,No,Yes
KFC,4.4,431,BTM,Fast Food,1000,No,Yes
Domino's Pizza,4.1,1294,HSR,North Indian,600,No,No
Cafe Coffee Day,4.0,586,Marathahalli,Multi Cuisine,600,Yes,Yes
Pizza Hut,4.6,2500,Whitefield,South Indian,800,No,No
Subway,3.5,1774,Jayanagar,Multi Cuisine,400,Yes,Yes
Local Restaurant 381,4.8,796,Whitefield,Chinese,700,No,No
Local Restaurant 382,3.8,1840,Whitefield,Cafe,700,Yes,No
Local Restaurant 383,3.9,375,BTM,Fast Food,1400,No,No
Cafe Coffee Day,4.0,2380,Banashankari,Multi Cuisine,800,Yes,No
Burger King,3.2,1204,Marathahalli,Cafe,700,Yes,Yes
Domino's Pizza,4.7,298,MG Road,Pizza,1200,Yes,Yes
Pizza Hut,4.5,939,JP Nagar,North Indian,400,No,No
Meghana Foods,4.1,1802,Jayanagar,South Indian,1400,Yes,No
McDonald's,4.3,600,HSR,Chinese,400,No,No
Empire Restaurant,4.4,424,Jayanagar,North Indian,600,Yes,No
KFC,3.8,884,BTM,Fast Food,700,No,No
Cafe Coffee Day,4.6,969,Marathahalli,Italian,1200,No,Yes
Pizza Hut,4.2,476,HSR,Italian,400,No,No
Subway,3.6,1984,Indiranagar,Biryani,1400,Yes,No
Meghana Foods,3.2,1299,Banashankari,Cafe,700,Yes,Yes
Burger King,4.7,1292,HSR,Fast Food,1400,Yes,No
Local Restaurant 397,3.6,2100,JP Nagar,Fast Food,1200,No,Yes
McDonald's,4.9,1147,Indiranagar,Chinese,700,No,No
Pizza Hut,3.7,555,JP Nagar,American,1200,Yes,Yes
Subway,4.8,2264,Jayanagar,Chinese,1200,Yes,No
Empire Restaurant,3.6,2411,Banashankari,North Indian,600,No,Yes
Meghana Foods,3.3,616,JP Nagar,South Indian,700,Yes,Yes
Local Restaurant 403,4.5,61,Jayanagar,North Indian,400,Yes,Yes
Meghana Foods,4.9,2161,BTM,Multi Cuisine,800,Yes,Yes
Burger King,4.0,53,Jayanagar,South Indian,800,No,No
Domino's Pizza,4.8,514,MG Road,North Indian,900,Yes,Yes
Truffles,4.5,1624,BTM,Cafe,600,No,No
Empire Restaurant,4.5,173,Whitefield,American,800,Yes,Yes
Local Restaurant 409,4.7,744,Indiranagar,Italian,700,No,No
Empire Restaurant,4.0,988,BTM,American,700,No,No
Pizza Hut,4.7,942,JP Nagar,South Indian,1000,Yes,Yes
Subway,4.7,410,Indiranagar,South Indian,1400,Yes,Yes
Cafe Coffee Day,4.8,968,HSR,North Indian,700,Yes,Yes
Local Restaurant 414,4.4,686,BTM,South Indian,500,Yes,No
